map_type,trial,d,limit,exact_truncation_fraction,eventual_truncation_floor,reachable_start_fraction,max_finite_hitting_transitions
random,22,6,64,0.328277587891,0.027206420898,0.972793579102,248
random,22,6,128,0.076904296875,0.027206420898,0.972793579102,248
random,22,6,256,0.027206420898,0.027206420898,0.972793579102,248
random,22,8,256,0.313079833984,0.028182983398,0.971817016602,434
random,22,8,512,0.028182983398,0.028182983398,0.971817016602,434
random,22,8,1024,0.028182983398,0.028182983398,0.971817016602,434
random,23,4,16,0.370422363281,0.009078979492,0.990921020508,74
random,23,4,32,0.135147094727,0.009078979492,0.990921020508,74
random,23,4,64,0.010421752930,0.009078979492,0.990921020508,74
random,23,6,64,0.400604248047,0.059890747070,0.940109252930,372
random,23,6,128,0.250869750977,0.059890747070,0.940109252930,372
random,23,6,256,0.128067016602,0.059890747070,0.940109252930,372
random,23,8,256,0.221450805664,0.072937011719,0.927062988281,444
random,23,8,512,0.072937011719,0.072937011719,0.927062988281,444
random,23,8,1024,0.072937011719,0.072937011719,0.927062988281,444
random,24,4,16,0.342727661133,0.000030517578,0.999969482422,114
random,24,4,32,0.099945068359,0.000030517578,0.999969482422,114
random,24,4,64,0.013366699219,0.000030517578,0.999969482422,114
random,24,6,64,0.286987304688,0.046432495117,0.953567504883,178
random,24,6,128,0.076248168945,0.046432495117,0.953567504883,178
random,24,6,256,0.046432495117,0.046432495117,0.953567504883,178
random,24,8,256,0.313659667969,0.214965820312,0.785034179688,371
random,24,8,512,0.214965820312,0.214965820312,0.785034179688,371
random,24,8,1024,0.214965820312,0.214965820312,0.785034179688,371
random,25,4,16,0.355941772461,0.000015258789,0.999984741211,82
random,25,4,32,0.120620727539,0.000015258789,0.999984741211,82
random,25,4,64,0.006317138672,0.000015258789,0.999984741211,82
random,25,6,64,0.337890625000,0.000015258789,0.999984741211,230
random,25,6,128,0.090866088867,0.000015258789,0.999984741211,230
random,25,6,256,0.000015258789,0.000015258789,0.999984741211,230
random,25,8,256,0.337158203125,0.106506347656,0.893493652344,544
