config,trial,map_type,b,N,m,d,limit,limit_over_mean,covered_states,coverage_fraction,stored_chains,truncated_chains,truncation_fraction,distinct_endpoints,mean_stored_transitions,theory_truncation_fraction
dp-d6-l64,9,des,16,65536,1024,6,64,1.000,6276,0.095764160156,704,320,0.312500000000,142,29.012784,0.364986524244
dp-d6-l64,9,random,16,65536,1024,6,64,1.000,6090,0.092926025391,648,376,0.367187500000,154,25.496914,0.364986524244
dp-d6-l128,9,des,16,65536,1024,6,128,2.000,9115,0.139083862305,937,87,0.084960937500,142,44.065101,0.133215162880
dp-d6-l128,9,random,16,65536,1024,6,128,2.000,7944,0.121215820312,823,201,0.196289062500,154,39.651276,0.133215162880
dp-d6-l256,9,des,16,65536,1024,6,256,4.000,9963,0.152023315430,1021,3,0.002929687500,142,52.646425,0.017746279621
dp-d6-l256,9,random,16,65536,1024,6,256,4.000,8352,0.127441406250,853,171,0.166992187500,154,43.134818,0.017746279621
dp-d8-l256,9,des,16,65536,1024,8,256,1.000,7011,0.106979370117,696,328,0.320312500000,35,107.880747,0.367159754892
dp-d8-l256,9,random,16,65536,1024,8,256,1.000,5356,0.081726074219,499,525,0.512695312500,32,119.360721,0.367159754892
dp-d8-l512,9,des,16,65536,1024,8,512,2.000,7204,0.109924316406,711,313,0.305664062500,35,111.414909,0.134806285612
dp-d8-l512,9,random,16,65536,1024,8,512,2.000,5646,0.086151123047,531,493,0.481445312500,32,128.318267,0.134806285612
dp-d8-l1024,9,des,16,65536,1024,8,1024,4.000,7204,0.109924316406,711,313,0.305664062500,35,111.414909,0.018172734641
dp-d8-l1024,9,random,16,65536,1024,8,1024,4.000,5646,0.086151123047,531,493,0.481445312500,32,128.318267,0.018172734641
dp-d4-l16,10,des,16,65536,1024,4,16,1.000,3778,0.057647705078,680,344,0.335937500000,452,6.938235,0.356074130452
dp-d4-l16,10,random,16,65536,1024,4,16,1.000,3810,0.058135986328,681,343,0.334960937500,475,6.938326,0.356074130452
